Asana,Grounding,Focus,,
Pranamasana,feet,legs,,
Hasta Uttanasana,feet,back,,
Uttanasana,"feet, hands",pelvis,,
Ardha Uttanasana,feet,back,,
Anjaneyasana,feet,legs,,
Adho Mukha Svanasana,"feet, hands",shoulders,,
Kumbhakasana,"feet, hands",shoulders,,
Ashtanga Namaskara,"feet, hands",shoulders,,
Urdhva Mukha Shvanasana,"feet, hands",back,,
Adho Mukha Svanasana,"feet, hands",shoulders,,
Anjaneyasana,"feet, hands",legs,,
Uttanasana,feet,legs,,
Hasta Uttanasana,feet,legs,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,legs
,,,,back
,,,,pelvis
,,,,chest
,,,,shoulders
,,,,arms
