Asana,Sanskrit,English,Type,Effect on spine,"Suitable for
meditation",Described[c],Yin Yogavariant[13],Image,,
Adho Mukha Vrikshasana[17],अधोमुखवृक्षासन,"Downward-Facing Tree,
Yoga Handstand",Balancing,,,18th C. HAP[18],, ,,
Astavakrasana[29],अष्टावक्रासन,"Aṣṭāvakra's pose,
Eight-angled",Balancing,,,20th C. LoY[30],, ,,
"Bakasana[33]
Kakasana[34]","बकासन,
ककासन","Crane (arms straight)
Crow (arms bent)",Balancing,,,17th C. HR[35],, ,,
Bhujapidasana[47],भुजपीडासन,Arm-pressing posture,Balancing,,,20th C. LoY[48],Snail, ,,
Kaundinyasana[78],कौण्डिन्यसन,Kaundinya's pose,Balancing,,,20th C. LoY[79],, ,,
Kukkutasana[56],कुक्कुटासन,Cockerel,Balancing,,,"07th C. AS[57]
13th C. VS[81]
15th C. HYP 1.23
17th C. GhS 2.31[59]",, ,,
Lolasana[84],लोलासन,Pendant,Balancing,,,20th C.[e][f],, ,,
Mayurasana[17],मयूरासन,Peacock,Balancing,,,"10th C. V[63]
15th C. HYP 1.33",, ,,
Pincha Mayurasana[106],पिञ्चमयूरासन,Feathered Peacock,Balancing,,,20th C. LoY[107],, ,,
Tittibhasana[136],टिट्टिभासन,Firefly,Balancing,,,19th C. ST[46] (as Mālāsana),, ,,
Tulasana[141],तुलासन,Balance / Scales,Balancing,,,20th C. LoY[142],, ,,
Vasishtasana[158],वसिष्ठासन,"Vasishta's pose,
Side plank",Balancing,,,20th C. TK[159],, ,,
Halasana[64],हलासन,Plough,Inversion,Forward bend,,"19th C. ST[65] (as Lāṇgalāsana, plough)
20th C. TB[66]",, ,,
Karnapidasana[75],कर्णपीडासन,Ear-pressing,Inversion,Forward bend,,20th C. TB[76] (as variant of Halasana), LoY[77],, ,
Sarvangasana[113],सालम्बसर्वाङ्गासन,Shoulder Stand,Inversion,,,20th C. (this name), 19th C. as Viparita Karani in JP, 15th C. HYP,, 
Setu Bandha Sarvangasana[117],सेतुबन्धसर्वाङ्गासन,Shoulder supported bridge,Inversion,Backbend,,"19th C. ST, called Kāmapīṭhāsana[118]",, ,,
"Shirshasana[121]
Kapalasana[122]",शीर्षासन,"Headstand,
Yoga Headstand",Inversion,,,"11th C. HY[123](called Duryodhanāsana or Kapālīkarana)
14th C. ShS 4.45-47 (as Viparita Karani)[124]
15th C. HYP 3.78-81 (ditto)[124]
17th C. GhS 3.33-35 (ditto)[124]
18th C. JP (as Kapala āsana)",, ,,
"Urdhva Dhanurasana[144]
Chakrasana","ऊर्ध्वधनुरासन, चक्रासन","Upwards-facing bow,
Wheel",Inversion,Backbend,,19th C. ST[145] (as Paryaṇkāsana),, ,,
Viparita Dandasana[160],विपरीत दण्डासन,Inverted Staff,Inversion,Backbend,,"20th C. TK?, LoY[160]",, ,,
"Viparita Karani[161]
Uttanapadasana (variant)",विपरीतकरणि,"Inverted practice
Legs up the wall",Inversion,,,"14th C. ShS 4.45-47[124]
15th C. HYP 3.78-81[124]
17th C. GhS 3.33-35[124] and other texts[138][i]",Legs-Up-the-Wall, ,,
Vrischikasana[172],वृश्चिकासन,Scorpion,Inversion,Backbend,,"20th C. LoY[173] (13th - 18th C. in Bharatnatyam dance statues of Eastern Gopuram, Nataraja Temple, Chidambaram but not yoga[140])",, ,,
"Bidalasana[8]
Marjariasana[9]","बिडालासन
मार्जरीआसन",Cat,Kneeling,Backbend,,"20th C. T.K.V. Desikachar, Satyananda Saraswati[9]",,,,
Kapotasana[73],कपोतासन,Pigeon,Kneeling,Backbend,,20th C. LoY[74],, ,,
Ushtrasana[147],उष्ट्रासन,Camel,Kneeling,Backbend,,20th C. LoY[148],, ,,
Vajrasana[156],वज्रासन,Thunderbolt,Kneeling,,Meditation[157],17th C. GhS[45] (may mean Virasana[116]),, ,,
"Virasana,[168]
Dhyana Virasana[169]","वीरासन,
ध्यान वीरासन","Hero,
Hero's Meditation",Kneeling,,Meditation[169][170],"04th C. DU[100]
08th C. PSV[52] (these may refer to a different meditation pose)",, ,,
Anantasana[21],अनन्तासन,"Ananta's pose,
Vishnu's Couch pose",Reclining,,,20th C. LoY[22],, ,,
Ashtanga Namaskara[28],अष्टाङ्ग नमस्कार,"Eight-Limbed Salutation
Caterpillar",Reclining,,,20th C. TK[28],, ,,
"Bhairavasana
Ankushasana[39]","भैरवासन
अण्कुशासन",Formidable,Reclining,,,19th C. ST[39],, ,,
